AC REG,PERIODE,AIRCRAFT TYPE,SERVICE TYPE,ROUNDTRIPROUTE,FLIGHT ROUTE
PKGNR,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFJ,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGNA,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGMW,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGNN,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFQ,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGMU,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGMM,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFV,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGMX,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGMY,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFS,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFH,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGNG,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGNE,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFX,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGMC,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGUC,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFU,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFP,JAN,AC738,DOM,CGK-TKG-CGK,CGK-TKG
PKGFQ,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGNR,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGMI,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGNA,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGUC,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGFH,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGFS,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGFP,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGFJ,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGMY,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGMM,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGMU,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGFV,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
PKGNN,JAN,AC738,DOM,CGK-TKG-CGK,TKG-CGK
