YEAR,PERIODE,AIRCRAFT TYPE,FLIGHT NUMBER_CITYPAIR,SERVICE TYPE,SUB-SERVICE,ROUNDTRIPROUTE,FLIGHT ROUTE,AC REG,Region,QUARTER,GA Service,AIRCRAFT TYPE GROUPING
2024.0,JAN,AC738,GA0072.CGK-TKG.[CGK-TKG],DOM,DOM_2 (JKT),CGK-TKG-CGK,CGK-TKG,PKGNR,DOM_WEST,Q1,IBB,B738NG
2025.0,FEB,AC773,GA0073.TKG-CGK.[TKG-CGK],INT,INT_5 (AMS)-EUR,CGK-AMS-CGK,TKG-CGK,PKGFJ,INT,Q2,EUR,B773ER
,MAR,AC73G,GA0088.CGK-AMS.[CGK-AMS],,DOM_1 (MES),CGK-PLM-CGK,CGK-AMS,PKGNA,DOM_EAST,Q3,IBT,A333
,APR,AC330,GA0089.AMS-CGK.[AMS-CGK],,DOM_3 (SUB),CGK-MES-CGK,AMS-CGK,PKGMW,MEA,Q4,SWP,A332
,MAY,AC33R,GA0102.CGK-PLM.[CGK-PLM],,DOM_3 (DPS),CGK-DJB-CGK,CGK-PLM,PKGNN,,,ASA,A339
,JUN,AC334,GA0107.PLM-CGK.[PLM-CGK],,DOM_4 (UPG),CGK-PGK-CGK,PLM-CGK,PKGFQ,,,JPK,
,JUL,AC32E,GA0107.PLM-CGK.[PLM-PLM],,INT_4 (SYD),CGK-BTJ-CGK,CGK-MES,PKGMU,,,CTH,
,AUG,AC339,GA0108.CGK-PLM.[CGK-PLM],,INT_1 (SIN),CGK-PDG-CGK,MES-CGK,PKGMM,,,MEA,
,SEP,AC777,GA0113.PLM-CGK.[PLM-CGK],,INT_2 (TYO),CGK-BTH-CGK,CGK-DJB,PKGFV,,,,
,OCT,AC33E,GA0118.CGK-MES.[CGK-MES],,INT_3 (SHA),CGK-PKU-CGK,DJB-CGK,PKGMX,,,,
,NOV,AC73H,GA0121.MES-CGK.[MES-CGK],,INT_5 (AMS)-MEA,CGK-YIA-CGK,CGK-PGK,PKGMY,,,,
,DEC,,GA0126.CGK-DJB.[CGK-DJB],,,CGK-SOC-CGK,PGK-CGK,PKGFS,,,,
,,,GA0127.DJB-CGK.[DJB-CGK],,,CGK-SRG-CGK,CGK-BTJ,PKGFH,,,,
,,,GA0136.CGK-PGK.[CGK-PGK],,,YIA-DPS-YIA,BTJ-CGK,PKGNG,,,,
,,,GA0137.PGK-CGK.[PGK-CGK],,,CGK-MLG-CGK,CGK-PDG,PKGNE,,,,
,,,GA0146.CGK-BTJ.[CGK-BTJ],,,CGK-BKS-CGK,PDG-CGK,PKGFX,,,,
,,,GA0146.CGK-BTJ.[CGK-CGK],,,CGK-SUB-CGK,CGK-BTH,PKGMC,,,,
,,,GA0147.BTJ-CGK.[BTJ-CGK],,,SUB-DPS-SUB,BTH-CGK,PKGUC,,,,
,,,GA0148.CGK-PDG.[CGK-PDG],,,CGK-DPS-CGK,CGK-PKU,PKGFU,,,,
,,,GA0149.PDG-CGK.[PDG-CGK],,,CGK-AMI-CGK,PKU-CGK,PKGFP,,,,
,,,GA0154.CGK-BTH.[CGK-BTH],,,CGK-SUB-KOE-SUB-CGK,CGK-YIA,PKGMI,,,,
,,,GA0157.BTH-CGK.[BTH-CGK],,,CGK-LBJ-CGK,YIA-CGK,PKGIG,,,,
,,,GA0164.CGK-PDG.[CGK-PDG],,,CGK-PNK-CGK,SOC-CGK,PKGIF,,,,
,,,GA0167.PDG-CGK.[PDG-CGK],,,CGK-BDJ-CGK,CGK-SOC,PKGUE,,,,
,,,GA0172.CGK-PKU.[CGK-PKU],,,CGK-BPN-CGK,CGK-SRG,PKGNF,,,,
,,,GA0175.PKU-CGK.[PKU-CGK],,,CGK-MDC-CGK,SRG-CGK,PKGNC,,,,
,,,GA0176.CGK-PKU.[CGK-PKU],,,CGK-UPG-KDI-UPG-CGK,YIA-DPS,PKGNQ,,,,
,,,GA0179.PKU-CGK.[PKU-CGK],,,CGK-UPG-PLW-UPG-CGK,DPS-YIA,PKGMA,,,,
,,,GA0182.CGK-MES.[CGK-MES],,,CGK-UPG-CGK,CGK-MLG,PKGFW,,,,
,,,GA0183.MES-CGK.[MES-CGK],,,CGK-PLW-CGK,MLG-CGK,PKGMF,,,,
,,,GA0185.MES-CGK.[MES-CGK],,,CGK-UPG-GTO-UPG-CGK,CGK-BKS,PKGFF,,,,
